occ_title,a_mean_2017,a_mean_2018,a_mean_2019,a_mean_2020,a_mean_2021,a_mean_2022,a_mean_2023,a_mean_2024
Instructional Coordinators,66680.0,67490.0,69180.0,70160.0,70560.0,73080.0,77200.0,77600.0
Teacher Assistants,27950.0,28750.0,,,,,,
"Education, Training, and Library Workers, All Other",47200.0,46680.0,,,,,,
Art and Design Workers,53910.0,55230.0,57290.0,59150.0,58910.0,65180.0,65190.0,67730.0
Art Directors,103510.0,104590.0,109600.0,114490.0,115430.0,124310.0,125920.0,128100.0
Craft Artists,41180.0,40490.0,38740.0,38260.0,40730.0,49180.0,43610.0,45340.0
"Fine Artists, Including Painters, Sculptors, and Illustrators",57520.0,58370.0,63030.0,65020.0,69010.0,69870.0,71420.0,76450.0
Multimedia Artists and Animators,76560.0,78230.0,,,,,,
"Artists and Related Workers, All Other",66590.0,67700.0,67750.0,69650.0,67240.0,74130.0,78890.0,79490.0
Commercial and Industrial Designers,70540.0,71430.0,73820.0,76290.0,79680.0,81740.0,81870.0,88000.0
Fashion Designers,78870.0,87610.0,86110.0,87210.0,83650.0,85760.0,97030.0,122430.0
Floral Designers,28220.0,28900.0,29760.0,30670.0,32100.0,34310.0,35500.0,37700.0
Graphic Designers,53280.0,54680.0,56510.0,58370.0,59970.0,64500.0,64700.0,68610.0
Interior Designers,58210.0,59120.0,60990.0,61400.0,62570.0,67460.0,68530.0,71430.0
Merchandise Displayers and Window Trimmers,30940.0,31850.0,32940.0,34550.0,35520.0,38120.0,39040.0,40540.0
Set and Exhibit Designers,59590.0,61020.0,62480.0,64610.0,62960.0,68490.0,67170.0,78450.0
"Designers, All Other",66400.0,68610.0,73510.0,71340.0,73480.0,76430.0,75960.0,78000.0
"Entertainers and Performers, Sports and Related Workers",59860.0,59900.0,62600.0,65700.0,71870.0,85030.0,85310.0,85710.0
Actors,,,,,,,,
Producers and Directors,90770.0,89840.0,93940.0,96690.0,101950.0,110660.0,107170.0,114280.0
Athletes and Sports Competitors,88300.0,87030.0,93140.0,94740.0,116930.0,358080.0,328830.0,259750.0
Coaches and Scouts,42540.0,43870.0,44910.0,47100.0,50550.0,57450.0,58700.0,58910.0
"Umpires, Referees, and Other Sports Officials",35080.0,36440.0,38810.0,40140.0,51710.0,49030.0,44860.0,52800.0
Dancers,,,,,,,,
Choreographers,52970.0,53560.0,53590.0,52000.0,49630.0,58740.0,59090.0,62020.0
Music Directors and Composers,61490.0,59790.0,64670.0,65720.0,65080.0,95430.0,87840.0,84230.0
Musicians and Singers,,,,,,,,
"Entertainers and Performers, Sports and Related Workers, All Other",,,,,,,,
Media and Communication Workers,64620.0,65980.0,67830.0,70180.0,71760.0,84890.0,81400.0,83030.0
Radio and Television Announcers,47630.0,51630.0,,,,,,
Public Address System and Other Announcers,41740.0,39040.0,,,,,,
Broadcast News Analysts,88250.0,91990.0,,,,,,
Reporters and Correspondents,51550.0,55530.0,,,,,,
Public Relations Specialists,67990.0,68440.0,70190.0,71940.0,73250.0,78540.0,77720.0,80310.0
Editors,68230.0,69480.0,71910.0,73910.0,76400.0,84820.0,85110.0,85700.0
Technical Writers,74440.0,75500.0,76860.0,78590.0,81470.0,86760.0,86620.0,92330.0
Writers and Authors,72120.0,73090.0,73860.0,78680.0,81120.0,91560.0,87590.0,85780.0
Interpreters and Translators,51790.0,55230.0,57000.0,58140.0,58400.0,61730.0,63080.0,64950.0
"Media and Communication Workers, All Other",53160.0,52430.0,53060.0,55540.0,59400.0,113840.0,87140.0,84870.0
Media and Communication Equipment Workers,55780.0,55970.0,57950.0,59990.0,58970.0,67310.0,65880.0,67410.0
Audio and Video Equipment Technicians,47530.0,48940.0,,,,,,
Broadcast Technicians,46730.0,46770.0,46800.0,49250.0,51280.0,84860.0,71600.0,64220.0
Radio Operators,44490.0,44710.0,,,,,,
Sound Engineering Technicians,68180.0,63500.0,67090.0,67210.0,67360.0,75590.0,74100.0,79280.0
Photographers,41940.0,42770.0,45440.0,50290.0,48210.0,50210.0,53380.0,55650.0
"Camera Operators, Television, Video, and Motion Picture",61530.0,61750.0,,,,,,
Film and Video Editors,83950.0,86830.0,87300.0,83880.0,76000.0,80990.0,83470.0,83530.0
"Media and Communication Equipment Workers, All Other",77520.0,77080.0,,,69290.0,74490.0,75860.0,78350.0
Health Diagnosing and Treating Practitioners,100780.0,101960.0,,,,,,
Chiropractors,83350.0,85870.0,85010.0,83830.0,81240.0,83720.0,89760.0,91830.0
"Dentists, General",174110.0,175840.0,178260.0,180830.0,167160.0,172290.0,191750.0,196100.0
Oral and Maxillofacial Surgeons,242740.0,242370.0,237570.0,234990.0,311460.0,309410.0,334310.0,360240.0
Orthodontists,229380.0,225760.0,230830.0,237990.0,267280.0,216320.0,243620.0,254620.0
Prosthodontists,196960.0,191400.0,220840.0,214870.0,143730.0,,240750.0,258660.0
"Dentists, All Other Specialists",199980.0,178800.0,178040.0,194930.0,179400.0,233430.0,244470.0,246530.0
Dietitians and Nutritionists,60150.0,61210.0,62330.0,64150.0,65620.0,69350.0,71280.0,74770.0
Optometrists,119100.0,119980.0,122980.0,125440.0,125440.0,133100.0,143000.0,140940.0
Pharmacists,121710.0,123670.0,125510.0,125460.0,125690.0,129410.0,134790.0,137210.0
Anesthesiologists,265990.0,267020.0,261730.0,271440.0,331190.0,302970.0,339470.0,336640.0
Family and General Practitioners,208560.0,211780.0,,,,,,
"Internists, General",198370.0,196490.0,,,,,,
Obstetricians and Gynecologists,235240.0,238320.0,233610.0,239120.0,296210.0,277320.0,278660.0,281130.0
"Pediatricians, General",187540.0,183240.0,184410.0,184570.0,198420.0,203240.0,205860.0,222340.0
Psychiatrists,216090.0,220380.0,220430.0,217100.0,249760.0,247350.0,256930.0,269120.0
Surgeons,251890.0,255110.0,,,,,,
"Physicians and Surgeons, All Other",211390.0,203880.0,,,,,,
Physician Assistants,104760.0,108430.0,112410.0,116080.0,119460.0,125270.0,130490.0,136900.0
Podiatrists,148470.0,148220.0,142680.0,151110.0,158380.0,157970.0,162520.0,163960.0
Occupational Therapists,84640.0,85350.0,86210.0,87480.0,89470.0,92800.0,96790.0,98240.0
Physical Therapists,88080.0,88880.0,90170.0,91680.0,92920.0,97960.0,100440.0,102400.0
Radiation Therapists,85190.0,86730.0,91620.0,94300.0,94000.0,98340.0,104420.0,110820.0
Recreational Therapists,49670.0,50640.0,51130.0,51260.0,53900.0,56310.0,60910.0,65350.0
Respiratory Therapists,61810.0,62500.0,63950.0,65640.0,68190.0,74310.0,80340.0,84260.0
Speech-Language Pathologists,79770.0,80700.0,82000.0,83240.0,85820.0,89460.0,92630.0,95840.0
Exercise Physiologists,54730.0,54760.0,54750.0,54020.0,54030.0,55820.0,57050.0,59620.0
"Therapists, All Other",58290.0,57680.0,58600.0,62090.0,65030.0,71860.0,75660.0,73800.0
Veterinarians,101530.0,105240.0,104820.0,108350.0,109920.0,129110.0,136300.0,140270.0
Registered Nurses,73550.0,75510.0,77460.0,80010.0,82750.0,89010.0,94480.0,98430.0
Nurse Anesthetists,169450.0,174790.0,181040.0,189190.0,202470.0,205770.0,214200.0,231700.0
Nurse Midwives,103640.0,106910.0,108810.0,115540.0,114210.0,122450.0,131570.0,128110.0
Nurse Practitioners,107480.0,110030.0,111840.0,114510.0,118040.0,124680.0,128490.0,132000.0
Audiologists,80040.0,82210.0,83900.0,89230.0,86050.0,89490.0,92620.0,95320.0
"Health Diagnosing and Treating Practitioners, All Other",84210.0,85600.0,,,,,,
Health Technologists and Technicians,47310.0,48380.0,47540.0,48990.0,50300.0,53230.0,56950.0,59310.0
Clinical Laboratory Technologists and Technicians,53230.0,53880.0,54780.0,55990.0,56910.0,59130.0,62870.0,65320.0
Dental Hygienists,74680.0,75500.0,77230.0,78050.0,81360.0,84860.0,89890.0,93890.0
Cardiovascular Technologists and Technicians,57250.0,58730.0,59600.0,60940.0,62020.0,65490.0,70270.0,72890.0
Diagnostic Medical Sonographers,73200.0,73860.0,75780.0,77790.0,80680.0,84410.0,89020.0,92550.0
Nuclear Medicine Technologists,77660.0,78870.0,80240.0,82080.0,84850.0,89610.0,95080.0,99690.0
Radiologic Technologists,60320.0,61540.0,,,,,,
Magnetic Resonance Imaging Technologists,70490.0,72230.0,74270.0,75960.0,77820.0,81530.0,86600.0,91020.0
Emergency Medical Technicians and Paramedics,36700.0,37760.0,38830.0,40370.0,,,,
Dietetic Technicians,29610.0,30130.0,31180.0,32920.0,34160.0,36370.0,38440.0,39560.0
Pharmacy Technicians,33060.0,34020.0,35250.0,36450.0,37970.0,40260.0,43330.0,44800.0
Psychiatric Technicians,36070.0,37760.0,37550.0,38080.0,38000.0,40760.0,43650.0,45000.0
Respiratory Therapy Technicians,50900.0,51380.0,,,,,,
Surgical Technologists,48060.0,49040.0,50110.0,51510.0,53590.0,57500.0,62250.0,65810.0
Veterinary Technologists and Technicians,34710.0,35560.0,36670.0,37860.0,38250.0,40770.0,44040.0,46280.0
Ophthalmic Medical Technicians,37500.0,38220.0,38760.0,40010.0,41120.0,42480.0,44290.0,45360.0
Licensed Practical and Licensed Vocational Nurses,45710.0,47050.0,48500.0,50090.0,51850.0,55860.0,60790.0,64150.0
Medical Records and Health Information Technicians,42820.0,44010.0,,,,,,
"Opticians, Dispensing",39070.0,39930.0,40730.0,41380.0,43060.0,44890.0,47560.0,49970.0
Orthotists and Prosthetists,70970.0,73860.0,72810.0,74120.0,79820.0,78240.0,80500.0,81330.0
Hearing Aid Specialists,57030.0,55650.0,55360.0,54630.0,59960.0,62480.0,61550.0,63930.0
"Health Technologists and Technicians, All Other",46690.0,47450.0,,,49230.0,50790.0,54220.0,56370.0
Other Healthcare Practitioners and Technical Occupations,64870.0,66590.0,56620.0,59280.0,61470.0,64580.0,68300.0,70950.0
Occupational Health and Safety Specialists,73600.0,74940.0,76290.0,78110.0,78740.0,82110.0,85570.0,88660.0
Occupational Health and Safety Technicians,53930.0,55270.0,56470.0,57870.0,57560.0,63230.0,64250.0,63800.0
Athletic Trainers,48630.0,49280.0,50540.0,52230.0,54650.0,57810.0,61540.0,63960.0
Genetic Counselors,78130.0,80860.0,84310.0,89710.0,86640.0,93120.0,98130.0,102890.0
"Healthcare Practitioners and Technical Workers, All Other",60600.0,63340.0,,,64880.0,68170.0,70800.0,73200.0
"Nursing, Psychiatric, and Home Health Aides",27110.0,28180.0,,,,,,
Home Health Aides,24280.0,25330.0,,,,,,
Psychiatric Aides,29330.0,31090.0,32590.0,33300.0,34640.0,38620.0,41000.0,43610.0
Nursing Assistants,28540.0,29580.0,30720.0,32050.0,33250.0,36220.0,39610.0,41270.0
Orderlies,28990.0,29840.0,30710.0,31780.0,33440.0,36070.0,38440.0,40070.0
Occupational Therapy and Physical Therapist Assistants and Aides,49300.0,50130.0,51080.0,52400.0,53900.0,57370.0,59180.0,60070.0
Occupational Therapy Assistants,59470.0,60410.0,61880.0,63420.0,63560.0,66280.0,68170.0,68540.0
Occupational Therapy Aides,33780.0,32580.0,34310.0,34160.0,39230.0,43090.0,42060.0,41850.0
Physical Therapist Assistants,57620.0,57750.0,58520.0,59440.0,60740.0,64510.0,65860.0,67160.0
Physical Therapist Aides,27910.0,28500.0,29180.0,30110.0,30370.0,33210.0,34810.0,35510.0
Other Healthcare Support Occupations,35650.0,36500.0,37580.0,38540.0,39360.0,42070.0,44930.0,46380.0
Massage Therapists,44950.0,45880.0,47180.0,47350.0,49260.0,57060.0,62560.0,63430.0
Dental Assistants,38690.0,39770.0,41170.0,42310.0,42510.0,44710.0,47350.0,48860.0
Medical Assistants,33580.0,34540.0,35720.0,36930.0,38190.0,40700.0,43350.0,44720.0
Medical Equipment Preparers,37060.0,37990.0,39530.0,41070.0,42420.0,44940.0,47410.0,48990.0
Medical Transcriptionists,36400.0,36350.0,35210.0,37310.0,34220.0,37090.0,39090.0,39210.0
Pharmacy Aides,29030.0,29190.0,30490.0,32250.0,34560.0,35870.0,38980.0,40290.0
Veterinary Assistants and Laboratory Animal Caretakers,27570.0,28690.0,29690.0,30980.0,31780.0,34490.0,37310.0,38990.0
Phlebotomists,34710.0,35560.0,36480.0,37280.0,38450.0,40580.0,43130.0,44390.0
"Healthcare Support Workers, All Other",38600.0,39110.0,40010.0,41430.0,40690.0,43490.0,47010.0,48760.0
Supervisors of Protective Service Workers,74810.0,76380.0,77600.0,79080.0,81010.0,81500.0,87710.0,93120.0
First-Line Supervisors of Correctional Officers,66880.0,68350.0,69000.0,67600.0,69750.0,70190.0,76840.0,82260.0
First-Line Supervisors of Police and Detectives,91590.0,93100.0,94950.0,97180.0,98760.0,99410.0,106000.0,110990.0
First-Line Supervisors of Fire Fighting and Prevention Workers,79430.0,80310.0,,,,,,
"First-Line Supervisors of Protective Service Workers, All Other",52040.0,52730.0,,,63910.0,63730.0,67870.0,73320.0
Fire Fighting and Prevention Workers,52260.0,53630.0,,,,,,
Firefighters,51930.0,53240.0,54650.0,56360.0,55290.0,56310.0,60390.0,63890.0
Fire Inspectors and Investigators,62260.0,64140.0,64730.0,67680.0,69680.0,76910.0,82510.0,87440.0
Forest Fire Inspectors and Prevention Specialists,45990.0,49610.0,53350.0,52130.0,54340.0,56780.0,61090.0,61820.0
Law Enforcement Workers,59790.0,61190.0,62740.0,65240.0,66370.0,67580.0,72370.0,75550.0
Bailiffs,46190.0,49870.0,51840.0,51730.0,52340.0,54680.0,58460.0,62180.0
Correctional Officers and Jailers,47600.0,49300.0,50130.0,52340.0,53420.0,54760.0,58810.0,62760.0
Detectives and Criminal Investigators,83320.0,85020.0,86030.0,89300.0,90370.0,91610.0,95930.0,98770.0
Fish and Game Wardens,58570.0,59260.0,57690.0,57810.0,58190.0,59860.0,61120.0,67990.0
Parking Enforcement Workers,40840.0,42200.0,43420.0,44870.0,46050.0,44670.0,50430.0,51840.0
Police and Sheriff's Patrol Officers,64490.0,65400.0,67600.0,70000.0,70750.0,71380.0,76550.0,79320.0
Transit and Railroad Police,71280.0,74450.0,71120.0,71000.0,69570.0,76380.0,78230.0,91820.0
Other Protective Service Workers,31170.0,32430.0,33380.0,34940.0,36280.0,37220.0,40620.0,43140.0
Animal Control Workers,37580.0,38490.0,39710.0,40680.0,42620.0,43780.0,48150.0,49240.0
Private Detectives and Investigators,55080.0,56810.0,57000.0,60100.0,60970.0,59400.0,60270.0,61680.0
Gaming Surveillance Officers and Gaming Investigators,36160.0,36200.0,,,,,,
Security Guards,30730.0,32050.0,33030.0,34360.0,35830.0,36700.0,40440.0,42890.0
Crossing Guards,30170.0,31970.0,,,,,,
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",23570.0,24420.0,25380.0,27050.0,27320.0,28370.0,31340.0,34700.0
Transportation Security Screeners,40960.0,41860.0,42310.0,44920.0,46380.0,48520.0,51040.0,61840.0
"Protective Service Workers, All Other",33930.0,34650.0,,,42160.0,43270.0,47420.0,48210.0
Supervisors of Food Preparation and Serving Workers,37220.0,38070.0,39140.0,40010.0,41130.0,43330.0,45780.0,47540.0
Chefs and Head Cooks,49650.0,52160.0,56310.0,58740.0,56920.0,60210.0,62640.0,64720.0
First-Line Supervisors of Food Preparation and Serving Workers,35460.0,36190.0,36960.0,37880.0,39150.0,41020.0,43310.0,44900.0
Cooks and Food Preparation Workers,25040.0,26120.0,27100.0,27820.0,29380.0,31730.0,34010.0,35460.0
"Cooks, Fast Food",21610.0,22650.0,23530.0,24300.0,25490.0,27920.0,29760.0,31140.0
"Cooks, Institution and Cafeteria",27450.0,28290.0,29030.0,29940.0,31520.0,33670.0,35920.0,37310.0
"Cooks, Private Household",42990.0,41240.0,45600.0,46810.0,43260.0,45510.0,49790.0,51290.0
"Cooks, Restaurant",26440.0,27580.0,28700.0,29530.0,31630.0,33940.0,36060.0,37730.0
"Cooks, Short Order",24060.0,25140.0,26240.0,27030.0,28110.0,30770.0,33920.0,35660.0
"Cooks, All Other",29900.0,30360.0,32240.0,32350.0,33390.0,35120.0,37610.0,38000.0
Food Preparation Workers,23900.0,24830.0,25820.0,26820.0,28810.0,30720.0,32960.0,33940.0
Food and Beverage Serving Workers,23220.0,23940.0,24990.0,25930.0,27520.0,30540.0,33060.0,34650.0
Bartenders,26260.0,26780.0,28000.0,28910.0,30340.0,34490.0,37090.0,39880.0
"Combined Food Preparation and Serving Workers, Including Fast Food",21230.0,22140.0,,,,,,
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",22530.0,23240.0,,,,,,
Waiters and Waitresses,25280.0,25830.0,26800.0,27470.0,29010.0,33020.0,36530.0,38360.0
"Food Servers, Nonrestaurant",24150.0,24980.0,26080.0,27460.0,29500.0,31940.0,33840.0,35030.0
Other Food Preparation and Serving Related Workers,22580.0,23540.0,24590.0,25740.0,27170.0,29600.0,31970.0,33380.0
Dining Room and Cafeteria Attendants and Bartender Helpers,23050.0,23950.0,25020.0,26300.0,27690.0,30290.0,32730.0,34190.0
Dishwashers,22210.0,23190.0,24410.0,25600.0,27350.0,29560.0,31650.0,33220.0
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",22290.0,23260.0,24010.0,24800.0,26000.0,28380.0,30750.0,32030.0
"Food Preparation and Serving Related Workers, All Other",24380.0,25430.0,26510.0,27880.0,28760.0,31990.0,35430.0,35990.0
Supervisors of Building and Grounds Cleaning and Maintenance Workers,45380.0,46380.0,47430.0,49110.0,48620.0,50980.0,53770.0,54580.0
First-Line Supervisors of Housekeeping and Janitorial Workers,42380.0,43150.0,44160.0,45500.0,45100.0,47430.0,49980.0,51170.0
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",50020.0,51280.0,52340.0,54040.0,53270.0,55770.0,58920.0,59380.0
Building Cleaning and Pest Control Workers,27170.0,28200.0,29350.0,30760.0,31590.0,33730.0,36100.0,37400.0
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",27900.0,28950.0,30010.0,31410.0,31860.0,33960.0,36250.0,37460.0
Maids and Housekeeping Cleaners,24630.0,25570.0,26810.0,28010.0,29580.0,31920.0,34650.0,36180.0
"Building Cleaning Workers, All Other",31690.0,32710.0,35270.0,38860.0,38530.0,41360.0,43740.0,44150.0
Pest Control Workers,36610.0,37950.0,39910.0,40350.0,40640.0,42210.0,44650.0,45800.0
Grounds Maintenance Workers,30330.0,31600.0,33100.0,34590.0,35960.0,38100.0,40620.0,41750.0
Landscaping and Groundskeeping Workers,29700.0,30940.0,32360.0,33800.0,35240.0,37270.0,39790.0,40880.0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37370.0,38210.0,39230.0,39130.0,40500.0,42560.0,44480.0,45960.0
Tree Trimmers and Pruners,38580.0,40510.0,42510.0,44040.0,47450.0,49820.0,52850.0,54970.0
"Grounds Maintenance Workers, All Other",34850.0,35710.0,37870.0,40270.0,39120.0,43750.0,46540.0,47180.0
Supervisors of Personal Care and Service Workers,41690.0,42710.0,44400.0,46350.0,46950.0,48790.0,51690.0,52440.0
First-Line Supervisors of Gaming Workers,49600.0,50250.0,,,,,,
First-Line Supervisors of Personal Service Workers,40550.0,41710.0,,,45730.0,47330.0,50090.0,50920.0
Animal Care and Service Workers,25840.0,26540.0,27720.0,29060.0,30100.0,32780.0,34290.0,35490.0
Animal Trainers,34760.0,35260.0,36240.0,37950.0,38230.0,41820.0,44910.0,45780.0
Nonfarm Animal Caretakers,25170.0,25890.0,,,,,,
Entertainment Attendants and Related Workers,23390.0,24050.0,25060.0,26560.0,27170.0,29830.0,32250.0,33380.0
Gaming Dealers,22910.0,23070.0,,,,,,
Gaming and Sports Book Writers and Runners,27550.0,27640.0,,,,,,
"Gaming Service Workers, All Other",29910.0,31260.0,,,,,,
Motion Picture Projectionists,24790.0,25820.0,29890.0,34380.0,32970.0,35710.0,43800.0,50290.0
"Ushers, Lobby Attendants, and Ticket Takers",22580.0,23610.0,24870.0,26390.0,26390.0,28700.0,30520.0,31770.0
Amusement and Recreation Attendants,22760.0,23460.0,24330.0,25610.0,26110.0,28350.0,30240.0,31350.0
Costume Attendants,47700.0,46010.0,48970.0,51780.0,54590.0,55070.0,60230.0,65890.0
"Locker Room, Coatroom, and Dressing Room Attendants",25670.0,26720.0,28230.0,29320.0,30220.0,32560.0,34590.0,36490.0
"Entertainment Attendants and Related Workers, All Other",29010.0,29690.0,31790.0,32580.0,29680.0,30810.0,34670.0,36180.0
Funeral Service Workers,39780.0,41130.0,,,42800.0,45010.0,45520.0,45890.0
Embalmers,45040.0,46640.0,50100.0,50220.0,51210.0,54120.0,56690.0,57520.0
Funeral Attendants,27120.0,28480.0,29830.0,31130.0,31630.0,34340.0,35200.0,35900.0
"Morticians, Undertakers, and Funeral Directors",56300.0,57620.0,,,,,,
Personal Appearance Workers,29840.0,30040.0,31700.0,33460.0,35350.0,38720.0,41510.0,42480.0
Barbers,30480.0,33220.0,35190.0,38050.0,35700.0,39350.0,41570.0,47800.0
"Hairdressers, Hairstylists, and Cosmetologists",30490.0,30190.0,31530.0,32740.0,35990.0,38910.0,41780.0,43460.0
"Makeup Artists, Theatrical and Performance",69310.0,72030.0,81600.0,99990.0,124380.0,93850.0,68590.0,75410.0
Manicurists and Pedicurists,24980.0,25860.0,27390.0,29010.0,30480.0,33560.0,36480.0,36910.0
Shampooers,21650.0,22160.0,22910.0,24320.0,25160.0,27870.0,29260.0,30830.0
Skincare Specialists,35130.0,36350.0,38970.0,41230.0,41700.0,47790.0,51100.0,48670.0
"Baggage Porters, Bellhops, and Concierges",29110.0,30070.0,31330.0,32580.0,34680.0,36140.0,38530.0,39190.0
Baggage Porters and Bellhops,26100.0,26990.0,28230.0,29060.0,30040.0,33130.0,36100.0,36960.0
Concierges,32700.0,33550.0,34290.0,35310.0,37520.0,38270.0,40230.0,40770.0
Tour and Travel Guides,29180.0,29630.0,30670.0,32200.0,33200.0,37790.0,40280.0,43090.0
Other Personal Care and Service Workers,26280.0,27190.0,,,33260.0,36080.0,38340.0,39230.0
Childcare Workers,23760.0,24610.0,25510.0,26790.0,27680.0,29570.0,32070.0,33140.0
Personal Care Aides,24100.0,25090.0,,,,,,
Fitness Trainers and Aerobics Instructors,43720.0,44580.0,,,,,,
Recreation Workers,27950.0,28310.0,29330.0,30960.0,32020.0,34170.0,36270.0,37170.0
Residential Advisors,28850.0,29970.0,31610.0,33430.0,34950.0,37530.0,40200.0,41590.0
"Personal Care and Service Workers, All Other",27760.0,28270.0,,,30790.0,33580.0,37190.0,37990.0
Supervisors of Sales Workers,50480.0,51930.0,52900.0,55200.0,54880.0,58450.0,60140.0,59830.0
First-Line Supervisors of Retail Sales Workers,43580.0,45080.0,45830.0,47300.0,46890.0,50130.0,52030.0,52350.0
First-Line Supervisors of Non-Retail Sales Workers,83370.0,84600.0,86180.0,90120.0,92320.0,96890.0,99020.0,97870.0
Retail Sales Workers,25560.0,26520.0,27600.0,29010.0,30060.0,32500.0,34520.0,35470.0
Cashiers,22130.0,23240.0,24370.0,25710.0,26770.0,28730.0,30710.0,31810.0
Gaming Change Persons and Booth Cashiers,25950.0,27220.0,,,,,,
Counter and Rental Clerks,29740.0,31200.0,32600.0,34700.0,36170.0,39320.0,41630.0,43700.0
Parts Salespersons,32920.0,34080.0,35220.0,36350.0,36920.0,39250.0,41080.0,42390.0
Retail Salespersons,27460.0,28310.0,29360.0,30940.0,31920.0,34730.0,36690.0,37150.0
"Sales Representatives, Services",69680.0,71490.0,71660.0,75170.0,74770.0,81230.0,85860.0,86380.0
Advertising Sales Agents,61020.0,63360.0,64660.0,68040.0,66540.0,73260.0,75820.0,76350.0
Insurance Sales Agents,66990.0,67890.0,67780.0,69100.0,69340.0,76950.0,79700.0,81510.0
"Securities, Commodities, and Financial Services Sales Agents",97440.0,98770.0,93090.0,96540.0,93260.0,100740.0,109710.0,110400.0
Travel Agents,40840.0,42720.0,44690.0,46650.0,46580.0,48250.0,50040.0,52690.0
"Sales Representatives, Services, All Other",63050.0,64860.0,,,,,,
"Sales Representatives, Wholesale and Manufacturing",72540.0,73680.0,75180.0,78310.0,77750.0,83030.0,86920.0,87690.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",92010.0,91830.0,92980.0,99680.0,102750.0,109950.0,113520.0,114520.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",67960.0,69480.0,71110.0,73500.0,72390.0,76890.0,80490.0,81470.0
Other Sales and Related Workers,49340.0,51380.0,53500.0,54890.0,53580.0,64480.0,66760.0,68850.0
Demonstrators and Product Promoters,31830.0,33260.0,35320.0,37080.0,36990.0,38470.0,41090.0,43730.0
Models,31870.0,31570.0,36430.0,54050.0,,77310.0,68700.0,81540.0
Real Estate Brokers,75910.0,78940.0,81450.0,81630.0,86490.0,90930.0,86130.0,91660.0
Real Estate Sales Agents,59630.0,61720.0,62060.0,62990.0,61480.0,65850.0,69610.0,70970.0
Sales Engineers,106950.0,108610.0,112780.0,117270.0,118630.0,125460.0,130550.0,130410.0
Telemarketers,27670.0,28550.0,29770.0,30930.0,30670.0,33600.0,36680.0,36340.0
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",28260.0,34120.0,35150.0,36740.0,34970.0,36280.0,42200.0,39890.0
"Sales and Related Workers, All Other",40180.0,40480.0,40620.0,39750.0,38840.0,56440.0,54150.0,57030.0
Supervisors of Office and Administrative Support Workers,58540.0,59340.0,60130.0,62010.0,63380.0,65510.0,68620.0,71560.0
First-Line Supervisors of Office and Administrative Support Workers,58540.0,59340.0,60130.0,62010.0,63380.0,65510.0,68620.0,71560.0
Communications Equipment Operators,31390.0,32140.0,33890.0,35050.0,35310.0,37870.0,40570.0,42670.0
"Switchboard Operators, Including Answering Service",30550.0,31290.0,33030.0,33980.0,34590.0,37230.0,40020.0,42130.0
Telephone Operators,38410.0,39360.0,37940.0,39340.0,39370.0,41590.0,42100.0,42880.0
"Communications Equipment Operators, All Other",42910.0,43410.0,46050.0,49260.0,49470.0,50140.0,53240.0,55890.0
Financial Clerks,38580.0,39660.0,40770.0,41920.0,43340.0,45600.0,47860.0,50200.0
Bill and Account Collectors,37650.0,38220.0,39300.0,40630.0,41280.0,42820.0,46020.0,48370.0
Billing and Posting Clerks,38460.0,39520.0,40620.0,41610.0,42750.0,44800.0,47120.0,49490.0
"Bookkeeping, Accounting, and Auditing Clerks",41110.0,42110.0,42960.0,44100.0,45140.0,47440.0,49580.0,52020.0
Gaming Cage Workers,28210.0,28980.0,,,,,,
Payroll and Timekeeping Clerks,44950.0,46110.0,47390.0,48290.0,49560.0,52300.0,54690.0,56870.0
Procurement Clerks,42320.0,43180.0,43980.0,45400.0,44930.0,46560.0,47940.0,50430.0
Tellers,28880.0,30140.0,31660.0,32960.0,34930.0,36800.0,38850.0,40940.0
"Financial Clerks, All Other",42630.0,43670.0,44740.0,46310.0,47830.0,49710.0,52690.0,55330.0
Information and Record Clerks,34930.0,35750.0,36580.0,37900.0,38670.0,40500.0,42610.0,44580.0
Brokerage Clerks,52850.0,53940.0,55190.0,58460.0,57710.0,59200.0,63130.0,67680.0
Correspondence Clerks,38100.0,38990.0,39570.0,40070.0,41710.0,42560.0,46940.0,46610.0
"Court, Municipal, and License Clerks",39760.0,41100.0,42030.0,43490.0,44870.0,46280.0,48760.0,51200.0
"Credit Authorizers, Checkers, and Clerks",39670.0,40670.0,41880.0,43580.0,44540.0,46180.0,50380.0,51270.0
Customer Service Representatives,35650.0,36470.0,37320.0,38510.0,39070.0,41190.0,43520.0,45380.0
"Eligibility Interviewers, Government Programs",44620.0,46480.0,47110.0,47990.0,48570.0,50020.0,51840.0,53970.0
File Clerks,32200.0,33810.0,34610.0,36140.0,36820.0,39560.0,40730.0,43700.0
"Hotel, Motel, and Resort Desk Clerks",24250.0,25130.0,25950.0,26900.0,28040.0,30300.0,32570.0,34740.0
