LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_NAICS_CODE
"ISYNC SOLUTIONS, INC.",NEWTOWN,PA,541519.0
"PERFICIENT, INC.",CREVE COEUR,MO,541512.0
THE BLACKSTONE GROUP,NEW YORK,NY,523110.0
PASADENA INDEPENDENT SCHOOL DISTRICT,PASADENA,TX,61110.0
THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,NEWARK,NJ,524113.0
"TECHNISOURCE, INC.",FORT LAUDERDALE,FL,56132.0
LOR VEN PHARMACY LLC,HAZEL PARK,MI,44611.0
"DIGITAS HEALTH, INC.",BOSTON,MA,541860.0
"SMARTPLAY, INC.",SAN JOSE,CA,541330.0
ABENER GHENOVA ENGINEERING INC.,PHOENIX,AZ,541330.0
ITC HOLDINGS CORP.,NOVI,MI,221121.0
"OWENS-ILLINOIS, INC.",PERRYSBURG,OH,32721.0
"T-MOBILE USA, INC.",BELLEVUE,WA,517212.0
"NETWORK EQUIPMENT TECHNOLOGIES, INC.",FREMONT,CA,541500.0
"WORLDLINK, INC",FRISCO,TX,541511.0
GLOBALFOUNDRIES U.S. INC.,MILPITAS,CA,334413.0
"RUMMEL, KLEPPER & KAHL, LLP",BALTIMORE,MD,541330.0
"NII HOLDINGS, INC.",RESTON,VA,517212.0
FEDERAL RESERVE BANK OF BOSTON,BOSTON,MA,521110.0
SYNCREON AMERICA INC.,AUBURN HILLS,MI,541614.0
CHEVRON CORPORATION,SAN RAMON,CA,211110.0
RBS SECURITIES INC.,STAMFORD,CT,522110.0
"DIGITAL DEPLOYMENT, INC.",SACRAMENTO,CA,541519.0
"DUTY FREE WORLD, INC.",MEDLEY,FL,421990.0
NOKIA SIEMENS NETWORKS US LLC,IRVING,TX,517212.0
"IFACTORY, A DIVISION OF RDW GROUP, INC.",PROVIDENCE,RI,541511.0
"BROADBAND TELECOM, INC.",KEW GARDENS,NY,517310.0
"SMITH'S FOOD & DRUG CENTERS, INC.",SALT LAKE CITY,UT,446110.0
"LASER COMPONENTS DG, INC.",TEMPE,AZ,334410.0
"NORTHWEST ADMINISTRATORS, INC.",SEATTLE,WA,541511.0
"SAP AMERICA, INC.",NEWTOWN SQUARE,PA,541510.0
"MERKLE, INC.",COLUMBIA,MD,5416.0
"ALNO GEDNEY FARMS, INC",WHITE PLAINS,NY,42493.0
ZIBIZ CORPORATION,RONKONKOMA,NY,541511.0
NATIONAL FINANCIAL LLC,MERRIMACK,NH,523999.0
"MARINE COMPUTATION SERVICES KENNY, INC.",HOUSTON,TX,237120.0
"IDHASOFT, INC.",ATLANTA,GA,541511.0
CHEVRON CORPORATION,SAN RAMON,CA,211111.0
DELOITTE CONSULTING LLP,PHILADELPHIA,PA,54161.0
LA FONDATION DU LYCEE FRANCAIS INTERNATIONAL DE WA,BETHESDA,MD,611110.0
SWISS RE AMERICA HOLDING CORPORATION,ARMONK,NY,551114.0
GIVAUDAN FLAVORS CORPORATION,CINCINNATI,OH,541710.0
"OMNICELL, INC.",MOUNTAIN VIEW,CA,334510.0
TEKNEST INC,FARMINGTON HILLS,MI,54511.0
JACOBS ASSOCIATES,SAN FRANCISCO,CA,541330.0
RESEARCH FOUNDATION OF THE STATE UNIVERSITY OF NEW,STONY BROOK,NY,541710.0
"COUNTRYWIDE HOME LOANS, INC.",PENNINGTON,NJ,522292.0
MAUSER CORPORATION,HOUSTON,TX,332439.0
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,611310.0
GOULD ACADEMY,BETHEL,ME,611620.0
"TRANSACTION NETWORK SERVICES, INC.",RESTON,VA,541519.0
YOUNG & RUBICAM INC.,MIAMI,FL,541800.0
GRIN-LH FORWARDING CO. INC.,LAREDO,TX,484121.0
"J.P. KENNY, INC.",HOUSTON,TX,237120.0
"TESLA MOTORS, INC.",PALO ALTO,CA,336111.0
"MICROS SYSTEMS, INC.",COLUMBIA,MD,5415.0
"AEROTEK, INC.",HANOVER,MD,541690.0
SCHLUMBERGER TECHNOLOGY CORPORATION,HOUSTON,TX,541330.0
"NESTLÉ USA, INC.",GLENDALE,CA,311991.0
"MORPHOTRAK, INC.",FEDERAL WAY,WA,334119.0
TIFFANY & CO.,NEW YORK,NY,448310.0
"ELETTRIC 80, INC.",SKOKIE,IL,333993.0
CANAL FAMILY AND INDUSTRIAL MEDICINE,HOUSTON,TX,621111.0
"NATIONAL MEDICAL CARE, INC., A FRESENIUS MEDICAL C",WALTHAM,MA,621492.0
JAMES HARDIE BUILDING PRODUCTS INC.,MISSION VIEJO,CA,327420.0
NOKIA INC.,IRVING,TX,517212.0
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,334413.0
"HERITAGE CARE, INC.",HYATTSVILLE,MD,623110.0
CREDIT SUISSE SECURITIES (USA) LLC,NEW YORK,NY,523110.0
PEGASYSTEMS INC.,CAMBRIDGE,MA,541512.0
"ADS ALLIANCE DATA SYSTEMS, INC.",LAFAYETTE,CO,541910.0
"INGERSOLL MACHINE TOOLS, INC.",ROCKFORD,IL,333512.0
"SPIN TRANSFER TECHNOLOGIES, LLC",BOSTON,MA,541712.0
EURO-PRO CORPORATION,NEWTON,MA,423620.0
VALENSAS TECHNOLOGY SERVICES LLC,NEW YORK,NY,334611.0
GOOGLE INC.,MOUNTAIN VIEW,CA,541512.0
CUMMINS INC.,NASHVILLE,TN,3336.0
ERNST & YOUNG U.S. LLP,SECAUCUS,NJ,541211.0
"JIBE CONSULTING, INC.",PORTLAND,OR,541611.0
POPE JOHN XXIII HIGH SCHOOL,EVERETT,MA,611110.0
"MED-IMPACT HEALTH CARE SYSTEMS, INC.",SAN DIEGO,CA,541618.0
"AMYLIN PHARMACEUTICALS, INC.",SAN DIEGO,CA,541710.0
ORIAN ENGINEERS INCORPORATED,KENNESAW,GA,541511.0
INTERBRAND CORPORATION,NEW YORK,NY,541810.0
"JAMCO AMERICA, INC.",EVERETT,WA,336413.0
INFINITY MICRO COMPUTER INC,LOS ANGELES,CA,4431.0
"WEB YOGA, INC.",DAYTON,OH,541511.0
"MASTERWORD SERVICES, INC.",HOUSTON,TX,541930.0
"NOOSPHERICS TECHNOLOGIES, INC.",HUNT VALLEY,MD,541511.0
XOMOX CORPORATION,CINCINNATI,OH,332912.0
MCKESSON CORPORATION,SAN FRANCISCO,CA,5419.0
BILL & MELINDA GATES FOUNDATION,SEATTLE,WA,813211.0
"CAREMARK, LLC",IRVING,TX,424210.0
DYNO NOBEL INC.,SALT LAKE CITY,UT,541330.0
INFOSYS LIMITED,PLANO,TX,541511.0
TEXAS INSTRUMENTS INCORPORATED,DALLAS,TX,334410.0
"FLEXTRONICS INTERNATIONAL USA, INC.",MILPITAS,CA,541614.0
"KBR CAPITAL PARTNERS MANAGEMENT, LLC",NEW YORK,NY,523920.0
SCHOOL DISTRICT OF KANSAS CITY MISSOURI,KANSAS CITY,MO,611110.0
DREAMWORKS ANIMATION LLC,GLENDALE,CA,512110.0
"GOLDMAN SACHS NEW JERSEY, LLC",JERSEY CITY,NJ,523110.0
"SAVE THE CHILDREN FEDERATION, INC.",WESTPORT,CT,926110.0
RTKL ASSOCIATES INC.,BALTIMORE,MD,541310.0
BARNES & NOBLE.COM,NEW YORK,NY,424920.0
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,611310.0
"TELECA USA, INC.",PLANO,TX,541519.0
"CUMMINS FILTRATION, INC.",NASHVILLE,TN,3336.0
"CARAVAN SERAI ORLANDO, INC.",ORLANDO,FL,561599.0
"THOMSON REUTERS (SCIENTIFIC), INC.",PHILADELPHIA,PA,541500.0
"XL GLOBAL SERVICES, INC.",STAMFORD,CT,524298.0
"VST CONSULTING, INC.",ISELIN,NJ,541511.0
QUALCOMM INCORPORATED,SAN DIEGO,CA,334220.0
QLOGIC CORPORATION,ALISO VIEJO,CA,541500.0
"SIEMENS INDUSTRY, INC.",PINE BROOK,NJ,541330.0
"UNVEILLANCE, INC.",WILMINGTON,DE,54151.0
HAN FENG INC.,GREENSBORO,NC,424420.0
"SEARCE, INC.",KINGWOOD,TX,541611.0
MEDIN CORPORATION,PASSAIC,NJ,339113.0
"INFOPATH SYSTEMS, INC.",CEDAR RAPIDS,IA,541511.0
"COMMSCOPE, INC. OF NORTH CAROLINA",HICKORY,NC,51791.0
"GOLDMAN, SACHS & CO.",NEW YORK,NY,523110.0
UNIVERSITY OF SOUTHERN MAINE,GORHAM,ME,611310.0
FLORIDA INSTITUTE FOR HUMAN AND MACHINE COGNITION,PENSACOLA,FL,541712.0
THE PROCTER & GAMBLE COMPANY,CINCINATTI,OH,339999.0
CEGEDIM STRATEGIC DATA USA LLC,JERSEY CITY,NJ,541512.0
"TANGO MANAGEMENT CONSULTING, LLC",IRVING,TX,541511.0
"GRUPO ANTOLIN ILLINOIS, INC.",BELVIDERE,IL,336399.0
CAESARS ENTERTAINMENT OPERATING COMPANY,LAS VEGAS,NV,72112.0
"ROUSH MANAGEMENT, LLC",LIVONIA,MI,541330.0
"HONEYWELL INTERNATIONAL, INC.",MORRISTOWN,NJ,551114.0
"AVANZAR INTERIOR TECHNOLOGIES, LTD.",SAN ANTONIO,TX,333298.0
BARCLAYS CAPITAL INC.,NEW YORK,NY,523110.0
"VENDOR DIRECT SOLUTIONS, LLC",LOS ANGELES,CA,518210.0
VIRGO INC,FAIRLESS HILLS,PA,541511.0
"TELKITE SERVICES, INC.",HILLSBOROUGH,NJ,541511.0
"ORPINE, INC.",ALPHARETTA,GA,541510.0
ALPHA AIRCRAFT SYSTEMS INC.,MIAMI,FL,4581.0
"MOTOROLA MOBILITY, INC.",LIBERTYVILLE,IL,334200.0
DELOITTE CONSULTING LLP,PHILADELPHIA,PA,541610.0
"NCI INFORMATION SYSTEMS, INC.",RESTON,VA,541519.0
"SEAL CONSULTING, INC.",EDISON,NJ,541511.0
PVH WHOLESALE CORPORATION,BRIDGEWATER,NJ,541490.0
"IPSEN, INC.",CHERRY VALLEY,IL,333994.0
THE ADVIZOR GROUP,GLEN ALLEN,VA,541511.0
"UNIVERSITY OF NEVADA, LAS VEGAS",LAS VEGAS,NV,611310.0
APPLIED MEDICAL RESOURCES CORP.,RANCHO SANTA MARGARITA,CA,532490.0
MOODY'S ANALYTICS,SAN FRANCISCO,CA,541990.0
"BITGRAVITY, INC.",BURLINGAME,CA,517110.0
"WESTERNGECO RESOURCES, INC.",HOUSTON,TX,213112.0
CA TECHNOLOGIES,ISLANDIA,NY,541519.0
BUPA WORLDWIDE CORPORATION,MIAMI,FL,524114.0
"MINDSPEED TECHNOLOGIES, INC.",NEWPORT BEACH,CA,334413.0
"DUANE READE, INC.",NEW YORK,NY,446110.0
EPACE TECHNOLOGIES INC.,IRVING,TX,541511.0
"STUMBLEUPON, INC.",SAN FRANCISCO,CA,518112.0
WEBER AIRCRAFT LLC,GAINESVILLE,TX,336360.0
W.M. RICE UNIVERSITY- DEPARTMENT OF COMPUTER SCIEN,HOUSTON,TX,611310.0
SLAC NATIONAL ACCELERATOR LABORATORY,MENLO PARK,CA,611310.0
DELOITTE & TOUCHE LLP,PHILADELPHIA,PA,54121.0
"CAPITAL ONE, NATIONAL ASSOCIATION",RICHMOND,VA,522110.0
INTEL CORPORATION,SANTA CLARA,CA,3344.0
"MOLINA HEALTHCARE, INC.",LONG BEACH,CA,621491.0
XINTHE TECHNOLOGIES PRIVATE LIMITED,BURLINGTON,MA,443120.0
CGI TECHNOLOGIES AND SOLUTIONS INC.,FAIRFAX,VA,541512.0
GLU MOBILE INC.,SAN FRANCISCO,CA,511210.0
DW PRACTICE LLC,ATLANTA,GA,541511.0
WEILL CORNELL MEDICAL COLLEGE,NEW YORK,NY,611310.0
CREDIT AGRICOLE SECURITIES (USA) INC.,NEW YORK,NY,523110.0
PAYLOCITY CORPORATION,ARLINGTON HEIGHTS,IL,541214.0
AMAZON CORPORATE LLC,SEATTLE,WA,454111.0
JETBLUE AIRWAYS,FOREST HILLS,NY,481111.0
MAVERICK TUBE CORPORATION,HOUSTON,TX,331210.0
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,LUBBOCK,TX,611310.0
STATE UNIVERSITY OF NEW YORK AT BUFFALO,BUFFALO,NY,611310.0
CDI CORPORATION,PHOENIX,AZ,541519.0
"DNT ASSOCIATES, INC.",MILWAUKEE,WI,621210.0
ORIENTAL SOLUTIONS INC.,KATY,TX,541511.0
DELOITTE & TOUCHE LLP,PHILADELPHIA,PA,541210.0
"CISCO SYSTEMS, INC.",SAN JOSE,CA,334111.0
STATE STREET BANK AND TRUST COMPANY,BOSTON,MA,522110.0
BANK OF AMERICA N.A.,WILMINGTON,DE,522110.0
"YANG INTERNATIONAL STAFFING COMPANY, INC.",RALEIGH,NC,5613.0
SOFTWAREART CORPORATION,WAKEFIELD,MA,541511.0
"AMERICARE CSS, INC.",BROOKLYN,NY,621610.0
"ACS STATE HEALTHCARE, LLC",DALLAS,TX,541512.0
DELOITTE TAX LLP,PHILADELPHIA,PA,541610.0
APPLE INC.,CUPERTINO,CA,334119.0
SOUTHWEST AIRLINES CO.,DALLAS,TX,541512.0
MICRONESIAN TELECOMMUNICATIONS CORPORATION,SAIPAN,MP,517212.0
MULTI SOLUTIONS INC.,DETROIT,MI,541511.0
THE UNIV. OF ALA. AT BIRMINGHAM (UAB),BIRMINGHAM,AL,61131.0
WORLD WILDLIFE FUND US,WASHINGTON,DC,813312.0
MICROSOFT CORPORATION,REDMOND,WA,51121.0
CAPGEMINI FINANCIAL SERVICES USA INC,ROSEMONT,IL,541511.0
AON FIRE PROTECTION ENGINEERING CORPORATION,CHICAGO,IL,524210.0
"CEQUINT, INC.",SEATTLE,WA,517212.0
"MORNINGSTAR, INC.",CHICAGO,IL,523930.0
"STAID LOGIC, LLC",BLOOMINGTON,IL,541511.0
"VEOLIA WATER NORTH AMERICA OPERATING SERVICES, LLC",CHICAGO,IL,221310.0
CURATORS OF THE UNIVERSITY OF MISSOURI,ROLLA,MO,611310.0
"UNICOM TECHNOLOGIES, INC.",NAPERVILLE,IL,541511.0
"CELCITE MANAGEMENT SOLUTIONS, LLC",HERNDON,VA,541330.0
THE TRI-COM CONSULTING GROUP LLC,MIDDLETOWN,CT,541511.0
"EXPEDIA, INC.",BELLEVUE,WA,541500.0
PURDUE UNIVERSITY,WEST LAFAYETTE,IN,611310.0
INTERNATIONAL PLANNED PARENTHOOD FEDERATION/WHR,NEW YORK,NY,621410.0
COAST CAPITAL PARTNERS LLC,AVENTURA,FL,531390.0
"SLK AMERICA, INC.",CINCINNATI,OH,541511.0
QUILINE SOFTWARE SOLUTIONS INC,PLAINFIELD,IL,541511.0
EVERNOTE CORPORATION,MOUNTAIN VIEW,CA,541510.0
MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,611310.0
"INOVANT, LLC",FOSTER CITY,CA,522320.0
STEROIDS LTD,CHICAGO,IL,325998.0
DELL FINANCIAL SERVICES,ROUND ROCK,TX,334110.0
H. LEE MOFFITT CANCER CENTER AND RESEARCH INSTITUT,TAMPA,FL,622310.0
VENSIT CORP,EAST BRUNSWICK,NJ,541511.0
"WAL-MART ASSOCIATES, INC.",BENTONVILLE,AR,452112.0
PRICELINE.COM,NORWALK,CT,454112.0
"MAQUET CARDIOVASCULAR, LLC",WAYNE,NJ,334510.0
MYCOM NORTH AMERICA INC,ROSWELL,GA,541330.0
"IMPRESSION TECHNOLOGY, INC.",WALNUT CREEK,CA,54151.0
UNIFY SOLUTIONS INC.,CATONSVILLE,MD,541511.0
KPMG LLP,MONTVALE,NJ,541210.0
"PRICEWATERHOUSECOOPERS, LLP",TAMPA,FL,541611.0
LENMAR CONSULTING INC.,JERSEY CITY,NJ,541511.0
