,Total_Approvals 2010,Total_Approvals 2011,Total_Approvals 2012,Total_Approvals 2013,Total_Approvals 2014,Total_Approvals 2015,Total_Approvals 2016,Total_Approvals 2017,Total_Approvals 2018,Total_Approvals 2019,Total_Approvals 2020,Total_Approvals 2021,Approval_Percentage 2010,Approval_Percentage 2011,Approval_Percentage 2012,Approval_Percentage 2013,Approval_Percentage 2014,Approval_Percentage 2015,Approval_Percentage 2016,Approval_Percentage 2017,Approval_Percentage 2018,Approval_Percentage 2019,Approval_Percentage 2020,Approval_Percentage 2021,Total_Approvals 2012-2015,Total_Approvals 2018-2019,Approval_Percentage 2012-2015,Approval_Percentage 2018-2019
"('48-49', 'Transportation and Warehousing')",1056,1318,1177,1241,1225,1010,1233,1232,3417,3593,1859,4367,0.612141975,0.554324191,0.545427584,0.505729702,0.457226038,0.444616617,0.46271799,0.466225166,0.623852072,0.576936664,0.568478929,0.687699208,4653,7010,0.486581111,0.598890387
"('50', 'Unknown or Unclassified Industries')",1,2,2,7,1,,,,,,,,0.00057968,0.00084116,0.00092681,0.002852625,0.000373246,,,,,,,,10,,0.001045736,
"('51', 'Information')",7574,11373,10065,11303,14797,13881,14981,16675,38734,39959,20950,49753,4.390495568,4.783254194,4.664170459,4.606174711,5.522917289,6.110617093,5.622042339,6.310312204,7.071784067,6.416312872,6.406473137,7.834920695,50046,78693,5.233492006,6.723035836
"('52', 'Finance and Insurance')",11993,14803,12260,13324,16055,15926,18762,17988,49684,54519,28844,65026,6.95210105,6.225842947,5.681344245,5.429768367,5.992460436,7.010855689,7.040969118,6.807190161,9.070958837,8.75424714,8.820444447,10.24005694,57565,104203,6.019781148,8.902450068
"('53', 'Real Estate and Rental and Leasing')",674,826,681,713,871,688,829,780,2087,2932,1300,2732,0.390704253,0.347398924,0.315578746,0.290560256,0.325097044,0.302867557,0.311105607,0.295175024,0.381029931,0.470798302,0.397537713,0.43022538,2953,5019,0.308805936,0.428791848
"('54', 'Professional, Scientific, and Technical Services')",73310,107606,106206,123290,142982,119113,145773,142059,279412,315995,169551,312733,42.49633352,45.25691118,49.21638229,50.24288066,53.36742311,52.43526646,54.7054254,53.75931883,51.01309779,50.74007823,51.84839746,49.24805044,491591,595407,51.40745652,50.86783574
"('55', 'Management of Companies and Enterprises')",909,1146,1135,1393,627,1554,963,694,1614,2364,937,2099,0.52692903,0.481984464,0.525964577,0.567672421,0.234025082,0.68409329,0.361392882,0.262630085,0.294672884,0.379593174,0.286532951,0.330542852,4709,3978,0.492437235,0.339855344
"('56', 'Administrative and Support and Waste Management and Remediation Services')",1931,2793,2318,2540,2680,2219,2880,3125,6592,7966,3913,7404,1.119361888,1.174679413,1.074172591,1.035095441,1.000298597,0.976835914,1.080801144,1.182592242,1.203521469,1.279119806,1.196588515,1.165954874,9757,14558,1.020324931,1.243744116
"('57', 'Unknown or Unclassified Industries')",51,3,,,0,1,,,,,,,0.029563675,0.001261739,,,0,0.000440214,,,,,,,1,,0.000104574,
"('58', 'Unknown or Unclassified Industries')",2,2,1,,,1,,,,,,,0.00115936,0.00084116,0.000463405,,,0.000440214,,,,,,,2,,0.000209147,
