"variable","n","min","q25","median","mean","q75","max","sd"
"log_wage",173,10.5686634915866,10.8662639771016,10.9639970461343,10.9648945378305,11.0667949590382,11.3398998300912,0.166457711005261
"log_real_wage",173,10.5481816832214,10.8451866723559,10.9456175126924,10.9493895341504,11.0520485828661,11.3276392985207,0.166405843615048
"AVG_WAGE",173,38896.653265,52379.1545433333,57756.83903,58609.2388334275,64010.0229733333,84111.605266,9780.5443721568
"real_wage",173,38108.0827094925,51286.6966186593,56704.9911224336,57706.9521969125,63073.0326808649,83086.6483716869,9625.75260507505
