"period","n","mean_wage","mean_log_wage","mean_denial_rate","median_denial_rate"
"Pre-Policy (2012-2016)",97,55472.6205481566,10.9107267739511,0.063376351502284,0.0536964980544747
"Post-Policy (2017-2020)",76,60558.6649591404,10.9987354254573,0.0944595041840654,0.0821923668719451
