"variable","n","min","q25","median","mean","q75","max","sd"
"denial_rate",173,0,0.0348319653722079,0.0630630630630631,0.0770313781139336,0.0980541777947348,0.5,0.060938135359126
"avg_preperiod_dependency",173,2.10477130607374e-08,5.94632347858559e-05,0.000117186198652282,0.000368334329906201,0.000447040005470085,0.00309263863848671,0.000681873552662664
"h1b_dependency_preperiod",173,2.10477130607374e-08,6.77590077483837e-05,0.000142961255659803,0.000500202594509884,0.000440577472313091,0.00766640684576323,0.00103723506291887
